Date,Close,Volume,ema
2022-06-02,128.45,727,
2022-06-03,123.7,428,
2022-06-06,127.45,438,
2022-06-07,124.25,41,
2022-06-08,124.05,41,
2022-06-09,123.05,294,
2022-06-10,124.75,1042,
2022-06-13,116.5,6194,
2022-06-14,117.9,220,
2022-06-15,119.55,494,122.965
2022-06-16,113.15,2736,121.43499999999999
2022-06-17,118.1,316,120.875
2022-06-20,117.2,187,119.85
2022-06-21,122.35,1157,119.66000000000001
2022-06-22,116.45,1682,118.9
2022-06-23,117.75,3082,118.37
2022-06-24,119.9,516,117.88499999999999
2022-06-27,117.9,1269,118.025
2022-06-28,122.1,3770,118.44500000000001
2022-06-29,125.25,251,119.01499999999999
2022-06-30,125.75,1919,120.275
2022-07-01,123.05,335,120.76999999999998
2022-07-04,126.3,284,121.68000000000002
2022-07-05,121.05,742,121.55
2022-07-06,120.75,328,121.97999999999999
2022-07-07,123.4,556,122.54499999999999
2022-07-08,126.3,1015,123.18500000000002
2022-07-11,131.05,1054,124.5
2022-07-12,128.1,1016,125.1
2022-07-13,125.95,1077,125.17
2022-07-14,124.55,491,125.05
2022-07-15,124.35,546,125.18000000000002
2022-07-18,124.4,1346,124.98999999999998
2022-07-19,128.05,1992,125.68999999999998
2022-07-20,126.8,1062,126.295
2022-07-21,128.75,936,126.83000000000001
2022-07-22,126.05,3881,126.80499999999999
2022-07-25,128.0,2439,126.5
2022-07-26,125.45,636,126.23499999999999
2022-07-27,128.85,1131,126.525
2022-07-28,126.2,371,126.69000000000001
2022-07-29,123.0,445,126.55500000000002
2022-08-01,124.05,795,126.52000000000001
2022-08-02,124.05,166,126.12
2022-08-03,121.8,736,125.61999999999998
2022-08-04,119.65,1625,124.71
2022-08-05,121.95,677,124.3
2022-08-08,119.65,1260,123.46499999999999
2022-08-10,119.25,1386,122.84499999999998
2022-08-11,118.3,1152,121.79
2022-08-12,116.5,1710,120.81999999999998
2022-08-16,115.0,1071,120.01999999999998
2022-08-17,115.55,270,119.17
2022-08-18,115.4,374,118.30499999999999
2022-08-19,116.95,609,117.82000000000001
2022-08-22,115.95,389,117.45
2022-08-23,117.2,1862,116.975
2022-08-24,119.2,1178,116.93000000000002
2022-08-25,117.5,2975,116.75500000000002
2022-08-26,118.7,344,116.79499999999999
2022-08-29,119.85,2293,117.13
2022-08-30,119.75,910,117.60500000000002
2022-09-01,119.5,660,118.0
2022-09-02,118.85,417,118.345
2022-09-05,117.9,2029,118.44000000000001
2022-09-06,119.85,384,118.83
2022-09-07,120.45,1272,119.155
2022-09-08,118.55,860,119.08999999999999
2022-09-09,119.2,10280,119.25999999999999
2022-09-12,120.1,2057,119.4
2022-09-13,117.95,6826,119.21
2022-09-14,118.95,499,119.13
2022-09-15,119.2,3512,119.1
2022-09-16,116.0,1707,118.81500000000001
2022-09-19,113.95,1674,118.42
2022-09-20,114.05,98,117.84
2022-09-21,114.8,975,117.275
2022-09-22,114.05,847,116.825
2022-09-23,112.95,1970,116.2
2022-09-26,112.0,4571,115.39000000000001
2022-09-27,106.9,7708,114.28500000000001
2022-09-28,105.7,2023,112.96
2022-09-29,105.5,850,111.58999999999999
2022-09-30,110.05,1165,110.995
2022-10-03,111.35,771,110.73499999999999
2022-10-04,112.65,156,110.595
2022-10-06,114.35,665,110.55
2022-10-07,113.95,1209,110.54
